name,amount
JINJA SOUTH DIVISION EAST,10
JINJA SOUTH DIVISION WEST,4801
JINJA SOUTH DIVISION WEST,3102
JINJA SOUTH DIVISION WEST,1964
JINJA SOUTH DIVISION WEST,251
JINJA SOUTH DIVISION WEST,250
JINJA SOUTH DIVISION WEST,162
JINJA SOUTH DIVISION WEST,68
JINJA SOUTH DIVISION WEST,51
JINJA SOUTH DIVISION WEST,50
DODOTH EAST COUNTY,7903
DODOTH EAST COUNTY,7892
DODOTH EAST COUNTY,149
DODOTH EAST COUNTY,127
DODOTH NORTH COUNTY,8780
DODOTH NORTH COUNTY,4013
IK COUNTY,
KABALE MUNICIPALITY,6399
KABALE MUNICIPALITY,5763
KABALE MUNICIPALITY,3301
KABALE MUNICIPALITY,558
KABALE MUNICIPALITY,252
KABALE MUNICIPALITY,54
KABALE MUNICIPALITY,24
NDORWA COUNTY EAST,15962
NDORWA COUNTY EAST,15826
NDORWA COUNTY EAST,2765
NDORWA COUNTY EAST,104
NDORWA COUNTY WEST,28909
NDORWA COUNTY WEST,3796
NDORWA COUNTY WEST,2079
NDORWA COUNTY WEST,1373
NDORWA COUNTY WEST,1132
NDORWA COUNTY WEST,431
NDORWA COUNTY WEST,194
NDORWA COUNTY WEST,43
BURAHYA COUNTY,32894
BURAHYA COUNTY,17081
BURAHYA COUNTY,4419
BURAHYA COUNTY,4040
BURAHYA COUNTY,2679
BURAHYA COUNTY,1067
BURAHYA COUNTY,648
KABERAMAIDO COUNTY,13012
KABERAMAIDO COUNTY,3445
KABERAMAIDO COUNTY,2495
KABERAMAIDO COUNTY,682
KABERAMAIDO COUNTY,364
OCHERO COUNTY,4742
OCHERO COUNTY,4284
OCHERO COUNTY,3553
OCHERO COUNTY,553
OCHERO COUNTY,366
BUYAGA EAST COUNTY,26239
BUYAGA EAST COUNTY,24067
BUYAGA EAST COUNTY,633
BUYAGA WEST COUNTY,33030
BUYAGA WEST COUNTY,23986
BUYAGA WEST COUNTY,2912
BUGANGAIZI EAST COUNTY,17803
BUGANGAIZI EAST COUNTY,15421
BUGANGAIZI EAST COUNTY,224
BUGANGAIZI EAST COUNTY,100
BUGANGAIZI EAST COUNTY,21
BUGANGAIZI SOUTH COUNTY,12801
BUGANGAIZI SOUTH COUNTY,12331
BUGANGAIZI SOUTH COUNTY,1048
BUGANGAIZI WEST COUNTY,18879
BUGANGAIZI WEST COUNTY,7660
BUGANGAIZI WEST COUNTY,862
KALAKI COUNTY,17906
KALAKI COUNTY,11939
KALAKI COUNTY,4725
KALAKI COUNTY,373
BUJUMBA COUNTY,4107
BUJUMBA COUNTY,3413
BUJUMBA COUNTY,1389
BUJUMBA COUNTY,1218
